ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,when_added,Level-2 disciplines,Unique level-2 disciplines,Duration,Size,Level-2 disciplines Persons,Level-2 disciplines Organisations
9e4534fe-86d3-4db8-bb3f-ac23f0d9229b,Bucharest - The City with One Inhabitant. The City-Me,2018-05-25,2022-05-25,"['060203', '060403', '060405', '060407', '060412']","['613e4545-39c6-4b5b-9cb1-993191f97c75', '01e1efb5-4056-47af-b1de-56a6cb4d6d11', '86efd411-0beb-4b17-99a1-4b302b34c18b']","['6301965e-32cc-4047-9e65-daed891a4240', '2393a565-bab5-4281-94b0-01c7b529db6c']",[],0,"['0602', '0604', '0604', '0604', '0604']","['0602', '0604']",48,3,"[['0201', '0201', '0201', '0604', '0604', '0604', '0604'], ['0604'], ['0604', '0604', '0604', '0604', '0604', '0604', '0604', '0699']]","[['0201', '0201', '0201', '0604', '0604', '0604', '0604'], ['0604', '0604', '0604', '0604', '0604', '0604', '0604', '0699']]"
e9b13b8e-bef3-4035-ae20-af9878ecb451,Contract for work item 2 (WI2) - Satellite network of experts - Satnex,2015-12-21,2018-06-30,"['020201', '020202']",['35b06a48-c9ee-455d-bf85-0eb235415cf2'],['f2406cda-0683-427d-8217-e1071d3a5e3c'],[],0,"['0202', '0202']",['0202'],30,1,"[['0202', '0202', '0202', '0208', '0202', '0202', '0202', '0208', '0208']]","[['0208', '0202', '0202']]"
ab239d5f-43de-4571-8725-7aa4d473317b,From Material to Meaning - Material Culture in Architecture.,2018-09-11,2022-09-11,"['020101', '020102', '020108', '060401', '060402', '060403', '060408']",['43c66a4f-8c7b-409c-b90c-b53ff517b21b'],['6301965e-32cc-4047-9e65-daed891a4240'],[],0,"['0201', '0201', '0201', '0604', '0604', '0604', '0604']","['0201', '0604']",48,1,"[['0201', '0201', '0201', '0604', '0604', '0604', '0604']]","[['0201', '0201', '0201', '0604', '0604', '0604', '0604']]"
b2249088-ffbf-471d-9588-7937c98ccab1,Optimal causal learning using electronic health records,2020-01-01,2022-12-31,['01010703'],"['dd4ac895-a358-4c45-9802-96f16437d4e8', '0e372ef9-b178-4350-b169-2b8a6a475e9b']",['77a340c9-7679-4f7b-99d0-8c3e366ddce7'],[],0,['0101'],['0101'],36,2,"[['0101', '0101'], ['0101', '0301', '0306', '0101', '0101', '0302', '0303']]","[['0102', '0101']]"
cac84167-fd42-4fef-a09d-3e91d7e68d8b,eXplainable AI for end users and developers,2019-10-01,2021-09-30,"['01020606', '01020906', '02020605']","['80fefe3d-a3e5-4756-8950-11247059491d', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716']","['8a8db3ba-223e-41a2-ba11-d14cfb90431a', '83c49bde-1d14-45a2-8ced-36a079096e62']",[],0,"['0102', '0102', '0202']","['0102', '0202']",24,2,"[['0102', '0102', '0102', '0202', '0102', '0299'], ['0102', '0102', '0102', '0102', '0102', '0102', '0102', '0102']]","[['0102', '0102', '0102', '0102'], ['0102']]"
ed992417-c96b-4a8a-bc54-91c173a30747,Business and Human Rights Innovation Platform Connecting Law and Management for Human Rights BHRIP ,2015-01-01,2021-12-31,['050502'],"['8d991f4d-1e5d-46e7-befa-a009b746cbaa', 'a895ade1-c3c1-4367-8dbe-62169576bbcf']","['612605e0-ead6-4e3e-b258-8a10285564f1', 'da14fbf2-a049-4201-a191-70f94798cfeb']",[],0,['0505'],['0505'],84,2,"[['0505', '0505'], ['0505']]","[['0505', '0505'], ['0505', '0505']]"
798705ab-4ab8-40c2-bc86-d0eabfa6f341,Upregulation of sialyl lewis X of Feline Infectious Peritonitis a basis for the development of a diagnostic test,2009-10-01,2015-02-26,"['040299', '040201', '049999', '010601']","['95d59afb-3998-4358-a56d-c4a56530cff4', 'b6f7bd9c-7140-415f-b428-8b47a514d247']",['6cc5cf21-3993-4700-b404-266547b737cf'],[],0,"['0402', '0402', '0499', '0106']","['0402', '0499', '0106']",65,2,"[['0402', '0106'], ['0402', '0106', '0402', '0106']]",[['0402']]
df90d826-2cd6-4fd2-aabb-79af2a529881,Lost in translation Small non coding RNA 39 s hidden players in big decisions ,2008-10-01,2012-09-30,"['010608', '010611', '030116', '030120', '030616', '030620', '010207', '010603', '020803', '030102', '030301', '030303', '030602']","['082b880d-29ab-4399-982b-54ef1b21dacb', 'eb3d9780-db85-4532-9320-c17fbf6f52bc', 'c9a1bc69-4c22-4a20-a214-28b22757f8ee']",['e9519ece-fc8b-4742-9727-08b1c53d6d07'],[],0,"['0106', '0106', '0301', '0301', '0306', '0306', '0102', '0106', '0208', '0301', '0303', '0303', '0306']","['0106', '0301', '0306', '0102', '0208', '0303']",48,3,"[[], [], []]","[['0102', '0106', '0208', '0301', '0303', '0303', '0306', '0106', '0106', '0301', '0306', '0106', '0301', '0301', '0306', '0306', '0205', '0206', '0206', '0206', '0206', '0207', '0207', '0207']]"
4b727605-9ea8-4847-8a53-046432a25ae6,Ontrafelen van de mechanismen nodig om autoreactieve T cell reactiviteit te onderdrukken tijdens macrofaag apoptotische beta cel interactie,2015-01-01,2017-12-31,"['030116', '030616']","['7298b9cb-e762-49f5-a211-50d4d3e25cc3', '674a54ee-cefe-43a0-8008-4145ab0e9f5e']","['843bb2fb-e499-4e64-b7f7-20c646bb60bd', 'f5af8a62-9241-49f1-bd56-a0aea67c9fce']",[],0,"['0301', '0306']","['0301', '0306']",36,2,"[['0301', '0306'], ['0301', '0301', '0301', '0304', '0306', '0306', '0306']]","[['0301', '0306'], ['0301', '0306', '0301', '0306', '0305', '0305', '0305', '0305', '0305', '0305', '0305', '0305', '0305']]"
8fc79d73-79df-47d3-a38f-fba822476f9c,Empowering teachers in Ethiopian primary education to stimulate executive functions in their students as a prerequisite for academic achievement and future success,2020-10-01,2024-09-30,"['05030103', '05010604']","['9a3d8252-6bdf-4ad8-9f46-0fc3245c0dff', '3601d182-88f8-49a5-a7d1-230289f2e40e']",['317ba1cb-4cb5-4c78-8bcf-c6667dc6ea59'],[],0,"['0503', '0501']","['0503', '0501']",48,2,"[['0503'], ['0503']]",[['0503']]
aee5e98a-f376-48ab-adf7-c87042f0c2a5,Engaging the immune system for remyelination in the brain using BDNF engineered regulatory T cells ,2020-10-01,2024-09-30,"['03021403', '03021404', '03022305']","['8b97aa4e-e1d9-4a84-b723-0d8ee07963cb', '7238ed55-75ac-43a8-a276-a9eb386a20ae']",['11461d04-23c1-48e1-ac00-0ee19a2e9592'],[],0,"['0302', '0302', '0302']",['0302'],48,2,"[['0206', '0206', '0306', '0306', '0306', '0306', '0306'], ['0301', '0301', '0301', '0302', '0302', '0302', '0302', '0302', '0306']]","[['0302', '0306']]"
